Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
location,breakfast,location,service,beach
night,clean,night,night,resort
clean,nice,nice,like,food
view,walk,breakfast,time,pool
walk,restaurant,clean,nice,time
floor,location,really,go,go
place,night,time,place,restaurant
small,friendly,service,area,people
nice,place,place,look,nice
service,helpful,friendly,desk,drink
breakfast,excellent,check,tell,like
bathroom,area,book,want,service
excellent,bathroom,price,come,water
helpful,comfortable,restaurant,check,beautiful
city,small,like,restaurant,really
street,recommend,little,people,night
book,large,well,say,want
time,minute,experience,work,buffet
area,close,small,well,place
recommend,street,walk,thing,trip
